,PI,NOME_COLOQUIAL,UF
383,190057932,INSÍGNIA GOLA DIST VERDE-MUSGO IM,UNIDADE
385,190057933,INSÍGNIA GOLA DIST VERDE-MUSGO QT,UNIDADE
386,190057934,INSÍGNIA GOLA DIST VERDE-MUSGO AA,UNIDADE
387,190057935,INSÍGNIA GOLA DIST VERDE-MUSGO QC-CA,UNIDADE
388,190057936,INSÍGNIA GOLA DIST VERDE-MUSGO QC-IM,UNIDADE
389,190057937,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-CP,UNIDADE
390,190057938,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-DT,UNIDADE
391,190057939,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-EL,UNIDADE
392,190057940,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-EP,UNIDADE
393,190057941,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-MA,UNIDADE
394,190057942,INSÍGNIA GOLA DIST VERDE-MUSGO MD,UNIDADE
397,190057943,INSÍGNIA GOLA DIST VERDE-MUSGO EN,UNIDADE
398,190057944,INSÍGNIA GOLA DIST VERDE-MUSGO CAPNAV,UNIDADE
399,190057945,INSÍGNIA GOLA DIST VERDE-MUSGO QT-CONV,UNIDADE
400,190057946,INSÍGNIA GOLA DIST VERDE-MUSGO EN-CONV,UNIDADE
401,190057947,INSÍGNIA GOLA DIST VERDE-MUSGO QAS-CONV,UNIDADE
402,190057948,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-FR,UNIDADE
403,190057953,"CART 18,6 MM PB G",UNIDADE
406,190057969,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-HN,UNIDADE
407,190057970,DISTINTIVO DE GOLA BORDADO VERDE-MUSGO SO-OR,UNIDADE
408,BR3267934,PETROLATO,QUILOGRAMA
412,BR3267935,ÓLEO LUBRIFICANTE PARA ARMAMENTO,LATA
414,190057971,INSÍGNIA GOLA DIST VERDE-MUSGO EN-ALTE,UNIDADE
416,BR3268296,ÓLEO LUBRIFICANTE DE ENGRENAGEM (VIDE DESCRIÇÃO DETALHADA PARA AQUISIÇÕES),BALDE
425,BR3268297,GRAXA RESISTENTE A ÁGUA DO MAR,QUILOGRAMA
436,BR3268621,ÓLEO LUBRIFICANTE HIDRÁULICO,TAMBOR
437,BR3270928,GRAXA PARA AERONAVE,LATA
440,BR3271145,"ADITIVO, REFRIGERANTE LÍQUIDO",UNIDADE
446,BR3269872,"LUVA PARA PROCEDIMENTO EM NITRILE, LIVRE DE LÁTEX, TAMANHO PEQUENO, DESCARTÁVEL, NÃO ESTÉRIL, AMBIDESTRA, ANTIALÉRGICA, SEM TALCO, SEM AMIDO E SEM ADITIVOS TÓXICOS. MATERIAL COM TEXTURA UNIFORME E DELICADA, RESISTENTE E MALEÁVEL, ACABAMENTO NO PUNHO",CAIXA
447,BR3269873,"LUVA PARA PROCEDIMENTO EM NITRILE, LIVRE DE LÁTEX, TAMANHO MÉDIO, DESCARTÁVEL, NÃO ESTÉRIL, AMBIDESTRA, ANTIALÉRGICA, SEM TALCO, SEM AMIDO E SEM ADITIVOS TÓXICOS. MATERIAL COM TEXTURA UNIFORME E DELICADA, RESISTENTE E MALEÁVEL, ACABAMENTO NO PUNHO EM",CAIXA
448,BR3269874,"LUVA PARA PROCEDIMENTO NITRÍLICA, LIVRE DE LÁTEX, TAMANHO GRANDE, DESCARTÁVEL, NÃO ESTÉRIL, AMBIDESTRA, ANTIALÉRGICA, SEM TALCO, SEM AMIDO E SEM ADITIVOS TÓXICOS. MATERIAL COM TEXTURA UNIFORME E DELICADA, RESISTENTE E MALEÁVEL, ACABAMENTO NO PUNHO EM",CAIXA
449,BR3264172,INSÍGNIA GOLA DIST VERDE-MUSGO IM-ALTE,UNIDADE
450,BR3264173,INSÍGNIA GOLA DIST VERDE-MUSGO MD-ALTE,UNIDADE
451,BR3265051,LUZ INDICADORA,UNIDADE
452,BR3268589,ÓLEO LUBRIFICANTE PARA MOTOR,TAMBOR
456,BR3266896,PERNEIRA PROTETORA PARA SOLDADOR,PAR
463,BR3271065,FLUIDO HIDRÁULICO À BASE DE PETRÓLEO,BALDE
467,BR3263908,LANTERNA ELÉTRICA DE CABEÇA,UNIDADE
468,BR3268590,ÓLEO LUBRIFICANTE PARA COMPRESSOR REFRIGERANTE,BALDE
469,BR3265329,TOUCA DE RANCHO,UNIDADE
470,BR3264575,ÓLEO LUBRIFICANTE PARA MOTOR,FRASCO
477,BR3264576,ÓLEO LUBRIFICANTE PARA MOTOR,FRASCO
484,BR3264577,FLUIDO HIDRÁULICO DE TRANSMISSÃO AUTOMÁTICA,BALDE
488,BR3268231,FLUIDO DE FREIO AUTOMOTIVO,LITRO
489,BR3265300,ÓLEO LUBRIFICANTE PARA MASTRO,LITRO
494,BR3268046,MEIA PARA FRIO TERMOREGULADORA M,PAR
496,BR3268047,MEIA PARA FRIO TERMOREGULADORA G,PAR
497,BR3268544,INSÍGNIA BRAÇO CINZA CB-SQ,PAR
500,BR3268472,ANODO PARA PREVENÇÃO CONTRA CORROSÃO,UNIDADE
501,BR3268473,ANODO PARA PREVENÇÃO CONTRA CORROSÃO,UNIDADE
502,BR3270941,BULE,UNIDADE
506,BR3270942,MANTEIGUEIRA,UNIDADE
510,BR3270943,SOPEIRA,UNIDADE
521,190029587,TINTA CINZA ANTIDERRAPANTE,BALDE
616,190046076,OLEO LUBRIFICANTE REFRIGERANTE COMPRESSOR,BALDE
626,190045239,CART 18.6 MM PB SG,UNIDADE
628,190045406,SAPATO FEM BRANCO S/MEDIO 35,PAR
630,190045407,SAPATO FEM BRANCO S/MEDIO 36,PAR
632,190045408,SAPATO FEM BRANCO S/MEDIO 37,PAR
633,190045409,SAPATO FEM BRANCO S/MEDIO 38,PAR
635,190045410,SAPATO FEM BRANCO S/MEDIO 39,PAR
637,190045411,SAPATO FEM BRANCO S/MEDIO 40,PAR
638,190045413,SAPATO FEM BRANCO S/MEDIO 42,PAR
639,190010631,NORFLOXACINO 400MG COMPRIMIDO REVESTIDO(VO),TABLETE
656,190024062,OLEO LUBRIFICANTE ENGRENAGEM,BALDE
676,190045781,TINTA ACABAMENTO POLIURETANO ACRILICO,GALAO
682,190045388,BLUSA BRANCA M/L COM PASSADOR 50,UNIDADE
683,190045389,BOTÃO COM 2 PÉS JUGULAR/PLATINA,PAR
686,190045801,ANEL VEDACAO,UNIDADE
687,190023789,COMPOSTO DE REVESTIMENTO EPOXI,BALDE
729,190045306,ROLAMENTO ESFERA ANULAR,UNIDADE
730,190045783,COMPOSTO REVESTIMENTO EPOXI,GALAO
734,190046057,PASTA LUBRIFICANTE,LATA
737,BR3232383,PORTA FUSIVEL,UNIDADE
742,190045422,TRAVESSEIRO FIBRA POLIESTER,UNIDADE
751,190010536,ÓLEO LUBRIFICANTE MOTOR,BALDE
803,190045210,TÊNIS EDUCAÇÃO FÍSICA 37,PAR
806,190032680,"ESPONJA DE GELATINA PURA DE COLÁGENO ESTÉRIL RE- ABSORVÍVEL, COM EFEITO HEMOSTÁTICO, LIOFILIZADA.",UNIDADE
809,190044757,TARJETA IDENTIFICAÇÃO CFN,UNIDADE
894,190025823,"ESPICHA DE MADEIRA (CABEÇA 2"")",UNIDADE
896,190026874,BLOCO,UNIDADE
899,190026600,CHAVE COMUTADORA,UNIDADE
900,190025180,DISJUNTOR,UNIDADE
901,190026607,CONECTOR PASSAGEM,UNIDADE
909,190027268,"COLAR CERVICAL, COM REGULAGEM DE ALTURA EDE NO MÍNIMO 03 NÍVEIS DE AJUSTE (P, M E G).",UNIDADE
912,190025857,"BOLSA TÉRMICA, MATERIAL BORRACHA SINTÉTICA, CARACTERÍSTICAS ADICIONAIS COM TAMPA ROSCÁVEL, CAPACIDADE 1.400 A 1.500, FORMATO RETANGULAR, APLICAÇÃO CRIOTERAPIA, COMPRIMENTO 25, LARGURA 10 (CATMAT 265949)",UNIDADE
917,190026919,"DRENO CIRÚRGICO ESTÉRIL E DESCARTÁVEL DE SUCÇÃO CONTÍNUA,  EXTENSOR EM PVC TRANSPARENTE, ISENTO DE LÁTEX , ATÓXICO E COM CLAMP. FOLE SANFONADO, GRADUADO E COM RESERVATÓRIO. DRENO RADIOPACO COM AGULHA EM AÇO INOX TAMANHO 3,2 (1/8""). ALÇA PARA FIXAÇÃO.",UNIDADE
919,190026817,"CATÉTER VESICAL FOLEY 3 VIAS Nº 18, BALÃO 30 ML, ESTÉRIL",UNIDADE
921,190026763,"TUBO ENDOTRAQUEAL C/ BALÃO N 5,0, ESTÉRIL",UNIDADE
922,190026766,"TUBO ENDOTRAQUEAL C/ BALÃO N 6,5, ESTÉRIL",UNIDADE
923,190026767,"TUBO ENDOTRAQUEAL, MATERIAL PVC SILICONIZADO, TAMANHO 7,0. CARACTERÍSTICAS ADICIONAIS MARCADOR RADIOPACO, COMPONENTES BALÃO DE ALTO VOLUME E BAIXA PRESSÃO, TIPO USO DESCARTÁVEL, ESTÉRIL.",UNIDADE
925,190025984,"LÂMINA BISTURI, MATERIAL AÇO INOXIDÁVEL, TAMANHO Nº 20,  DESCARTÁVEL. AFIADA E POLIDA. ADAPTÁVEL A CABO DE BISTURI PRÓPRIO PARA O SEU TAMANHO.EMBALADA INDIVIDUALMENTE. ESTÉRIL.",UNIDADE
937,190031001,OLEO LUBRIFICANTE COMPRESSOR AR,BALDE
938,190026030,BROCA Nº 557 CARBIDE P/ALTA ROTAÇÃO,UNIDADE
939,190024266,PROPOFOL E EDTA EMULSÃO INJETÁVEL 1% (10MG/ML) AMPOLA 20ML,AMPOLA
941,190024227,"REAGENTE PARA DIAGNÓSTICO CLÍNICO 6, TIPO: CONJUNTO COMPLETO, TIPO DE ANÁLISE: QUALITATIVO DE HIV I E II, MÉTODO: IMUNOCROMATOGRAFIA, APRESENTAÇÃO: TESTE (CATMAT 334484)",TESTE
942,190026774,"TUBO ENDOTRAQUEAL  S/ BALÃO N 3,0, ESTÉRIL",UNIDADE
943,190026775,"TUBO ENDOTRAQUEAL  S/ BALÃO N 3,5, ESTÉRIL",UNIDADE
944,190026764,"TUBO ENDOTRAQUEAL C/ BALÃO N 5,5, ESTÉRIL",UNIDADE
945,190026765,"TUBO ENDOTRAQUEAL C/ BALÃO N 6,0, ESTÉRIL",UNIDADE
946,190026768,"TUBO ENDOTRAQUEAL C/ BALÃO N 7,5, ESTÉRIL",UNIDADE
954,190026769,"TUBO ENDOTRAQUEAL, MATERIAL POLIVINIL,  TAMANHO 8,0,  CARACTERÍSTICAS ADICIONAIS MARCADOR RADIOPACO, PONTA ARREDONDADA, BALÃO PILOTO COM VÁLVULA, TIPO CONECTOR, ADAPTÁVEL, SUPERFÍCIE LISA, COMPONENTES BALÃO  DE ALTO VOLUME E BAIXA PRESSÃO, TIPO USO D",UNIDADE
965,190026026,OLEO LUBRIFICANTE COMPRESSOR AR,BALDE
969,190031006,"MÁSCARA CIRÚRGICA, TIPO NÃO TECIDO, 3 CAMADAS, PREGAS HORIZONTAIS, ATÓXICAS,TIPO FIXAÇÃO 4 TIRAS LATERAIS P/ FIXAÇÃO, CARACTERÍSTICAS ADICIONAIS CLIP NASAL EMBUTIDO, HIPOALERGÊNICO, CONTENDO FILTRO BACTERIANO ENTRE AS CAMADAS( ACIMA DE 90% DE CAPACID",UNIDADE
985,190029544,"CATETER INTRAVENOSO, MATERIAL TEFLON OU POLIURETANO, CALIBRE 18G APLICAÇÃO PERIFÉRICO, CARACTERÍSTICAS ADICIONAIS SILICONIZADO, CÂMARA REFLUXO, TAMPA PROTETORA, TIPO USO DESCARTÁVEL, ESTÉRIL,  RADIOPACO, COMPONENTES AGULHA AÇO INOX, BISEL CURTO TRIFA",UNIDADE
995,190029546,"CATETER INTRAVENOSO, ESTÉRIL, CALIBRE 22G, COM SISTEMA DE SEGURANÇA, MATERIAL  POLIURETANO,",UNIDADE
999,190025186,DISJUNTOR,UNIDADE
1000,190025258,"GRAXA, BASE MINERAL",BALDE
1002,190025492,OLEO LUBRIFICANTE INSTRUMENTO,BALDE
1003,190029543,TINTA ALQUIDICA LARANJA,GALAO
1071,190031019,REVELADOR PARA FILME RADIOLÓGICO EM PROCESSADORA AUTOMÁTICA GALÃO PARA DOSE DE 38 LITROS.,GALAO
1073,190026975,"FITA CIRÚRGICA  50 MM X 10M, DORSO RAYON DE VISCOSE NÃO TECIDO MICROPOROSO RECOBERTO C/ ADESIVO ACRÍLICO HIPOALERGÊNICO, TIPO MICROPORE",ROLO
1075,190024604,"SUTURA CIRÚRGICA SINTÉTICA TINGIDA  ESTÉRIL NÃO-ABSORVÍVEL  MONOFILAMENTAR  NYLON  3.0, 45CM, AG.  3/8 CIRC. TRIANGULAR 2,4CM",UNIDADE
1083,190024063,OLEO LUBRIFICANTE ENGRENAGEM,BALDE
1104,190026857,INDICADOR CONTROLADOR NIVEL,UNIDADE
1105,190024756,CIMENTO DE OXIFOSFATO DE ZINCO PÓ C/ 28 GR,FRASCO
1114,190024170,"LAMÍNULA DE VIDRO PARA MICROSCOPIA 20X20MM, POLIDA, LAVADA E NEUTRA, COM ESPESSURA DE 0,1 A 0,2MM. CAIXA COM 100 UNIDADES",CAIXA
1115,190027244,"AGULHA HIPODÉRMICA, ESTÉRIL, DESCARTÁVEL, TAM. 30MMX0,80MM, COM SISTEMA DE SEGURANÇA, MATERIAL TUBO EM AÇO INOXIDÁVEL SILICONIZADO. APLICAÇÃO COM PROTETOR PLÁSTICO, CANHÃO COM A COR DO CALIBRE. BISEL CURTO E TRIFACETADO. EMBALADA INDIVIDUALMENTE.",UNIDADE
1127,190027246,"AGULHA HIPODÉRMICA, ESTÉRIL, DESCARTÁVEL, TAM. 25MMX0,80MM, COM SISTEMA DE SEGURANÇA, MATERIAL TUBO EM AÇO INOXIDÁVEL SILICONIZADO. APLICAÇÃO C/ PROTETOR PLÁSTICO, CANHÃO IDENT. COM A COR DO CALIBRE. BISEL CURTO E TRIFACETADO. EMBALADA INDIVIDUALMENT",UNIDADE
1132,190027257,SONDA  URETRAL ESTÉRIL N 20 EMBALAGEM INDIVIDUAL,UNIDADE
1139,190012707,GOLA DE MARINHEIRO (PANAMÁ),UNIDADE
1143,BR3080683,PARAFUSO,UNIDADE
1144,190010553,"CARVEDILOL 3,125 MG COMPRIMIDO",TABLETE
1156,190027279,"DISPOSITIVO DE PUNÇÃO VENOSA ESTÉRIL Nº 23, MATERIAL PVC CRISTAL FLEXIVEL, TRATAMENTO SUPERFICIAL, ASAS LEVES E FLEXÍVEIS, CONECTOR LUER CÔNICO RÍGIDO, CÂNULA EM AÇO INOXIDÁVEL SILICONIZADA, ATRAUMÁTICA COM PAREDES FINAS. CARACTERÍSTICAS ADICIONAIS B",UNIDADE
1161,190025822,"ESPICHA DE MADEIRA (CABEÇA 1 3/4"")",UNIDADE
1170,190023802,GRAXA MANCAL E ROLAMENTO ROLETE,LATA
1173,190036605,OLEO LUBRIFICANTE REFRIGERANTE COMPRESSOR,BALDE
1177,190036622,ANEL O,UNIDADE
1178,190036437,ALICATE DESENCAPADOR FIOS,UNIDADE
1179,190036442,ALICATE PRESSAO AJUSTAVEL 175MM (7 POL),UNIDADE
1184,BR3219792,GRAMPO P/CABO ACO 38MM (1 1/2 POL),UNIDADE
1186,190042329,COMPOSTO ANTIGRIMPANTE,QUILOGRAMA
1195,190042355,"CURATIVO DE POLIETILENO, ADESIVO ACRÍLICO, COM COMPRESSA DE TECIDO DE VISCOSE, COM ANTISÉPTICA PELÍCULA DE POLIETILENO, COM DIMENSÕES APROXIMADAS DE 1,9 CM X 7,6 CM, EMBALADO INDIVIDUALMENTE. CAIXA COM 10 UNIDADES. CURATIVO TIPO """"BAND-AID""""""",CAIXA
1202,190042351,LAPIS DERMATOGRAFICO BRANCO,UNIDADE
1204,190026023,OLEO LUBRIFICANTE TURBINA VAPOR,TAMBOR
1216,BR3219838,REDUCAO (ADAPTADOR) FEMEA X MACHO,UNIDADE
1218,190042015,VÁLVULA,UNIDADE
1219,190026988,"SERINGA, ESTÉRIL, MATERIAL POLIPROPILENO TRANSPARENTE   CAPACIDADE 10 ML, TIPO BICO LUER LOCK, CARACTERÍSTICAS ADICIONAIS ÊMBOLO COM PONTEIRA DE BORRACHA, SILICONIZADA, GRADUAÇÃO FIRME E PERFEITAMENTE LEGÍVEL, TIPO USO DESCARTÁVEL.""",UNIDADE
1235,190034151,"CADERNAL 2 GORNES P/ CABO (CIRC. 3"") CARGA 1.200 KG",UNIDADE
1237,190041939,"CART 5,56 FST LINCADO",UNIDADE
1238,190042810,GRAXA GRAFITE,BISNAGA
1240,190042829,ELEMENTO ( VÁLVULA TERMOSTÁTICA),UNIDADE
1241,190042089,ANEL DEFLETOR,UNIDADE
1243,190036621,ANEL O,UNIDADE
1244,190040470,MODULO ELETRONICO,UNIDADE
1245,190040276,ESGUICHO MANGUEIRA INCENDIO,UNIDADE
1246,190023714,TINTA ALQUIDICA VERMELHA,GALAO
1294,190018223,CAPA DO LIVRO DO ESTABELECIMENTO 2º VOLUME,PAR
1297,190036722,ESPIRONOLACTONA COMPRIMIDO 25 MG (VO),TABLETE
1302,190036719,HIDROCLOROTIAZIDA 25MG COMPRIMIDO,TABLETE
1315,190036451,"BUJAO MADEIRA 17,8 X 25,4 X 30,5 CM",UNIDADE
1317,190022994,JAQUETA SALVA-VIDAS VERDE GRANDE,UNIDADE
1319,190013527,BOTA BORRACHA CANO LONGO TAM 42,PAR
1323,190037030,BLOCO TERMINAL,UNIDADE
1326,190037050,JUNTA TAMPA AGUA,UNIDADE
1327,171174999,"TANSULOSINA CÁPSULA GELATINOSA DURA DE LIBERAÇÃO PROLONGADA 0,4MG (CX COM 30 CÁPSULAS).",CAPSULA
